Processed_Date,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Total Votes,Average Rating,Color,Popularity_Index
2021-01-09,5,2,2,9,53,71,4.45,1,3.86
2021-01-10,40,15,54,206,1741,2056,4.75,1,6.39
2021-01-11,12,4,22,114,611,763,4.71,1,7.28
2021-01-12,12,4,13,61,284,374,4.61,1,5.89
2022-01-01,14,8,6,53,308,389,4.63,1,4.98
2022-01-02,4,1,5,8,92,110,4.66,1,5.21
2022-01-03,3,1,2,10,70,86,4.66,1,5.45
2022-01-04,0,3,1,5,36,45,4.64,1,4.09
2022-01-05,3,0,0,10,60,73,4.7,1,5.3
2022-01-06,2,1,0,2,28,33,4.61,1,3.33
2022-01-07,2,1,2,9,53,67,4.64,1,5.47
2022-01-08,3,0,3,9,57,72,4.62,1,5.14
2022-01-09,0,0,0,0,5,5,5.0,1,1.61
